Date,Close,High,Low,Open,Volume
2020-01-02,300.3507995605469,300.3507995605469,294.5918609259051,294.5918609259051,31754120
2020-01-03,300.7937316894531,305.6666787418596,297.24977019679386,304.78068836869477,41811268
2020-01-06,294.14886474609375,296.3638411372541,294.14886474609375,295.0348553025579,45343057
2020-01-07,291.93377685546875,295.03474261872867,289.275806201246,294.5917475096915,50879181
2020-01-08,291.93377685546875,295.03474261872867,287.9468208741346,287.9468208741346,37567748
2020-01-09,299.0217590332031,299.0217590332031,295.47779744466146,296.8067830403646,31481504
2020-01-10,300.7937316894531,302.1227172492003,297.6927653833763,301.67972206261794,27032115
2020-01-13,302.5657958984375,303.00879120722,300.3508193545251,303.00879120722,30663332
2020-01-14,306.55267333984375,306.55267333984375,305.22368776178087,306.1096781471561,30223993
2020-01-15,301.2366638183594,305.66661475686465,299.02168834910674,305.66661475686465,47434274
2020-01-16,296.36383056640625,298.13581161613064,292.37687320452636,292.37687320452636,55211420
2020-01-17,295.0348205566406,297.24979668694573,294.1488301045186,295.9208110087627,52060097
2020-01-20,295.0348205566406,297.24979668694573,295.0348205566406,295.9208110087627,32658203
2020-01-30,280.4158630371094,288.83276887866555,280.4158630371094,288.83276887866555,125451049
2020-01-31,283.5169372558594,286.61790375709535,282.6309468269348,286.1749085426331,62526055
2020-02-03,279.0869140625,280.4158993675595,276.42894345238096,279.0869140625,59560849
2020-02-04,287.9468994140625,298.5787849308894,287.9468994140625,298.1357897010216,51890496
2020-02-05,290.1618347167969,291.9338153868231,287.5038637117575,291.49082021931656,36601453
2020-02-06,294.5918273925781,294.5918273925781,291.49086078844573,291.9338560176075,29267094
2020-02-07,290.6048889160156,292.8198652034853,288.83290788603995,292.37686994599136,28798327
2020-02-10,290.1618347167969,290.6048298843034,284.4028975392116,284.84589270671813,30632424
2020-02-11,293.7058410644531,294.59183153523577,292.3768553582791,292.8198505936705,27524935
2020-02-12,296.80682373046875,297.69281424906717,295.0348426932719,295.4778379525711,37612639
2020-02-13,296.80682373046875,299.464795286264,296.80682373046875,299.464795286264,22757021
2020-02-14,296.80682373046875,298.5788047676656,296.36382847116954,298.5788047676656,16933683
2020-02-17,293.7058410644531,295.0348267706271,292.8198505936705,293.7058410644531,15937079
2020-02-18,285.2889404296875,289.2758976717173,285.2889404296875,287.5039166752596,61825604
2020-02-19,289.27581787109375,289.71881299800197,285.2888617289194,285.73185685582763,38781218
2020-02-20,288.3899230957031,291.49089001071064,287.9469278221306,290.60489946356563,27011736
2020-02-21,287.9468994140625,289.27588510366587,286.17491849459134,288.3898946439303,22813534
2020-02-24,283.5169372558594,284.8459228992462,283.0739420413971,283.0739420413971,41693680
2020-02-25,285.2889404296875,286.61792617703077,281.3019831876577,283.5169594332298,36195011
2020-02-26,282.1878967285156,283.9598772417245,280.4159162153067,280.85891134360895,60479362
2020-02-27,279.9729309082031,283.51689205893985,279.08694062051893,282.6309017712557,61250927
2020-03-02,275.54296875,280.8589102692926,272.8849979903537,272.8849979903537,79912942
2020-03-03,281.302001953125,283.5169783464567,279.973016117126,282.18799251045766,49679411
2020-03-04,283.95989990234375,285.2888853933064,280.8589337567644,285.2888853933064,42941146
2020-03-05,286.1748962402344,288.8328674127443,286.1748962402344,287.94687702190765,37861525
2020-03-06,279.0869140625,283.9598601810516,279.0869140625,283.5168650793651,51546760
2020-03-09,270.6700439453125,274.6570004027721,270.6700439453125,272.4420245930723,87871277
2020-03-10,271.9990539550781,273.7710347626031,266.68311153250335,267.12610673438456,71950130
2020-03-11,267.5690612792969,275.0999785669592,267.5690612792969,273.7709931632541,62216710
2020-03-12,260.4811096191406,264.9110604630036,254.27917843773253,264.9110604630036,113527351
2020-03-13,256.9372253417969,260.48118707064924,241.43239277806776,243.6473688586005,149995148
2020-03-16,244.976318359375,257.8231777308431,244.09032805789442,252.50723592195976,103873228
2020-03-17,237.44546508789062,244.9763846895588,234.78749346377245,234.78749346377245,121323651
2020-03-18,230.35755920410156,241.4324418581449,230.35755920410156,238.7744700211745,117437643
2020-03-19,221.85885620117188,226.33181701167936,210.67645417490314,225.4372248495779,160811697
2020-03-20,241.53993225097656,241.53993225097656,229.0156394675926,231.2521203217683,157664726
